z,a,e,Uninformed_pred,Uninformed_CI5,Uninformed_CI95,Informed_Pred,Informed_CI5,Informed_CI95,Infor+Cons_pred,Infor+Cons_CI5,Infor+Cons_CI95,JENDL,JENDL Error,GEF,GEF Error,EXP,EXP Error,ENDF,ENDF Error,JEFF,JEFF Error
53,135,4.8,0.03305,0.02617,0.03803,0.03977,0.03562,0.04324,0.04029,0.03777,0.04247,,,,,,,,,,
53,135,4.9,0.03306,0.02534,0.03808,0.03989,0.03572,0.04337,0.04035,0.03783,0.04252,,,,,,,,,,
53,135,5,0.03308,0.02437,0.03813,0.04,0.03581,0.04349,0.0404,0.03788,0.04257,,,,,,,,,,
53,135,5.1,0.03308,0.02316,0.03817,0.0401,0.03589,0.0436,0.04044,0.03793,0.04262,,,,,,,,,,
53,135,5.2,0.03308,0.02169,0.03822,0.0402,0.03597,0.04371,0.04048,0.03797,0.04265,,,,,,,,,,
53,135,5.3,0.03307,0.01999,0.03827,0.04028,0.03605,0.0438,0.04051,0.038,0.04268,,,,,,,,,,
53,135,5.4,0.03305,0.01841,0.03832,0.04036,0.03611,0.04388,0.04054,0.03803,0.0427,,,,,,,,,,
53,135,5.5,0.03303,0.01734,0.03837,0.04043,0.03619,0.04396,0.04056,0.03805,0.04272,,,,,,,,,,
53,135,5.6,0.03299,0.01661,0.03843,0.04049,0.03624,0.04403,0.04057,0.03807,0.04273,,,,,,,,,,
53,135,5.7,0.03295,0.01592,0.0385,0.04054,0.0363,0.0441,0.04058,0.03808,0.04273,,,,,,,,,,
53,135,5.8,0.03291,0.01504,0.03857,0.04059,0.03635,0.04416,0.04059,0.03809,0.04274,,,,,,,,,,
53,135,5.9,0.03285,0.01445,0.03862,0.04063,0.03638,0.04421,0.04058,0.03809,0.04273,,,,,,,,,,
53,135,6,0.03279,0.01403,0.03866,0.04066,0.03642,0.04425,0.04058,0.03808,0.04273,,,,,,,,,,
53,135,6.1,0.03273,0.01344,0.0387,0.04069,0.03645,0.04427,0.04057,0.03808,0.04271,,,,,,,,,,
53,135,6.2,0.03265,1.27E-02,0.03874,0.0407,0.03648,0.04429,0.04055,0.03806,0.04269,,,,,,,,,,
53,135,6.3,0.03257,1.19E-02,0.0388,0.04071,0.03649,0.04431,0.04053,0.03805,0.04267,,,,,,,,,,
53,135,6.4,0.03249,1.09E-02,0.03889,0.04072,0.03651,0.04432,0.0405,0.03803,0.04264,,,,,,,,,,
53,135,6.5,0.0324,1.02E-02,0.03901,0.04072,0.03652,0.04433,0.04047,0.038,0.04261,,,,,,,,,,
53,135,6.6,0.0323,0.00957,0.03912,0.04071,0.03652,0.04433,0.04044,0.03797,0.04257,,,,,,,,,,
53,135,6.7,0.0322,0.0092,0.03929,0.0407,0.03652,0.04432,0.0404,0.03794,0.04253,,,,,,,,,,
53,135,6.8,0.0321,0.00866,0.03948,0.04068,0.03652,0.04431,0.04035,0.03791,0.04248,,,,,,,,,,
53,135,6.9,0.03199,0.00744,0.03974,0.04065,0.03651,0.0443,0.04031,0.03787,0.04243,,,,,,,,,,
53,135,7,0.03187,0.0062,0.04015,0.04062,0.0365,0.04429,0.04026,0.03782,0.04237,,,,,,,,,,
53,135,7.1,0.03175,0.00533,0.0406,0.04059,0.03649,0.04427,0.0402,0.03778,0.04232,,,,,,,,,,
53,135,7.2,0.03163,0.00463,0.04104,0.04055,0.03647,0.04424,0.04014,0.03772,0.04226,,,,,,,,,,
53,135,7.3,0.03151,0.0037,0.04151,0.0405,0.03645,0.04421,0.04008,0.03767,0.04219,,,,,,,,,,
53,135,7.4,0.03138,0.00264,0.0419,0.04045,0.03642,0.04417,0.04001,0.03761,0.04212,,,,,,,,,,
53,135,7.5,0.03125,0.00188,0.04228,0.04039,0.03638,0.04413,0.03994,0.03755,0.04205,,,,,,,,,,
53,135,7.6,0.03112,0.00139,0.04263,0.04033,0.03634,0.04408,0.03987,0.03748,0.04197,,,,,,,,,,
53,135,7.7,0.03098,8.54E-04,0.04299,0.04027,0.03631,0.04403,0.03979,0.03742,0.0419,,,,,,,,,,
53,135,7.8,0.03084,3.41E-04,0.0433,0.0402,0.03627,0.04398,0.03972,0.03734,0.04181,,,,,,,,,,
53,135,7.9,0.0307,-7.88E-05,0.04358,0.04013,0.03622,0.04392,0.03963,0.03727,0.04173,,,,,,,,,,
53,135,8,0.03055,-6.11E-04,0.04393,0.04006,0.03617,0.04386,0.03955,0.03719,0.04164,,,,,,,,,,
53,135,8.1,0.03041,-0.00119,0.04432,0.03998,0.03612,0.04378,0.03946,0.03711,0.04155,,,,,,,,,,
53,135,8.2,0.03026,-0.00173,0.04473,0.03989,0.03607,0.04371,0.03937,0.03703,0.04146,,,,,,,,,,
53,135,8.3,0.03011,-0.00234,0.04511,0.03981,0.03601,0.04363,0.03928,0.03694,0.04136,,,,,,,,,,
53,135,8.4,0.02997,-0.00277,0.0455,0.03972,0.03594,0.04356,0.03918,0.03686,0.04126,,,,,,,,,,
53,135,8.5,0.02982,-0.00349,0.04592,0.03962,0.03587,0.04348,0.03908,0.03677,0.04116,,,,,,,,,,
53,135,8.6,0.02967,-0.00438,0.04637,0.03953,0.0358,0.04339,0.03898,0.03668,0.04106,,,,,,,,,,
53,135,8.7,0.02952,-0.00464,0.04692,0.03943,0.03573,0.0433,0.03888,0.03658,0.04095,,,,,,,,,,
53,135,8.8,0.02938,-0.00477,0.04742,0.03932,0.03566,0.0432,0.03877,0.03648,0.04085,,,,,,,,,,
53,135,8.9,0.02923,-0.00475,0.04783,0.03922,0.03558,0.0431,0.03866,0.03638,0.04074,,,,,,,,,,
53,135,9,0.02909,-0.00452,0.04807,0.03911,0.0355,0.04301,0.03855,0.03628,0.04063,,,,,,,,,,
53,135,9.1,0.02895,-0.00397,0.04817,0.039,0.03542,0.0429,0.03844,0.03617,0.04051,,,,,,,,,,
53,135,9.2,0.02882,-0.00321,0.04814,0.03889,0.03533,0.0428,0.03832,0.03606,0.0404,,,,,,,,,,
53,135,9.3,0.02869,-0.00259,0.04804,0.03877,0.03524,0.04268,0.03821,0.03595,0.04028,,,,,,,,,,
53,135,9.4,0.02857,-0.00215,0.04789,0.03865,0.03516,0.04257,0.03809,0.03584,0.04016,,,,,,,,,,
53,135,9.5,0.02846,-0.00194,0.04766,0.03853,0.03506,0.04245,0.03797,0.03573,0.04004,,,,,,,,,,
53,135,9.6,0.02835,-0.00212,0.04741,0.03841,0.03497,0.04233,0.03784,0.03561,0.03992,,,,,,,,,,
