0.02578,0.02104,0.03188,0.02421,0.0217,0.02682,0.02651,0.02433,0.02872,,,,,,,,,,
0.02607,0.02144,0.03212,0.02462,0.02214,0.02724,0.02705,0.02489,0.02924,,,,,,,,,,
0.02636,0.02181,0.03235,0.02504,0.02257,0.02765,0.02758,0.02543,0.02976,,,,,,,,,,
0.02664,0.02216,0.03258,0.02546,0.02299,0.02807,0.0281,0.02597,0.03026,,,,,,,,,,
0.02692,0.02248,0.0328,0.02589,0.02341,0.0285,0.02862,0.02648,0.03077,,,,,,,,,,
0.02718,0.02279,0.03303,0.02631,0.02382,0.02893,0.02911,0.02698,0.03126,,,,,,,,,,
0.02744,0.02309,0.03324,0.02674,0.02421,0.02935,0.0296,0.02747,0.03174,,,,,,,,,,
0.02769,0.02337,0.03344,0.02716,0.02462,0.02978,0.03008,0.02795,0.03221,,,,,,,,,,
0.02794,0.02364,0.03364,0.02759,0.02501,0.03022,0.03055,0.02842,0.03268,,,,,,,,,,
0.02817,0.0239,0.03384,0.02801,0.02539,0.03066,0.031,0.02887,0.03313,,,,,,,,,,
0.0284,0.02415,0.03403,0.02844,0.02578,0.0311,0.03145,0.02931,0.03358,,,,,,,,,,
0.02862,0.0244,0.03422,0.02886,0.02617,0.03154,0.03188,0.02973,0.03402,,,,,,,,,,
0.02884,0.02462,0.03439,0.02928,0.02657,0.03196,0.0323,0.03015,0.03444,,,,,,,,,,
0.02905,0.02485,0.03457,0.0297,0.02696,0.03241,0.03271,0.03055,0.03485,,,,,,,,,,
0.02925,0.02506,0.03473,0.03011,0.02734,0.03283,0.03311,0.03093,0.03524,,,,,,,,,,
0.02944,0.02526,0.03489,0.03052,0.02771,0.03325,0.0335,0.03131,0.03563,,,,,,,,,,
0.02963,0.02545,0.03504,0.03093,0.02809,0.03368,0.03387,0.03167,0.036,,,,,,,,,,
0.02981,0.02565,0.03519,0.03133,0.02847,0.0341,0.03423,0.03203,0.03637,,,,,,,,,,
0.02999,0.02583,0.03533,0.03173,0.02883,0.03454,0.03458,0.03237,0.03672,,,,,,,,,,
0.03016,0.02601,0.03547,0.03212,0.0292,0.03496,0.03492,0.03269,0.03706,,,,,,,,,,
0.03033,0.02618,0.03561,0.03251,0.02956,0.03536,0.03525,0.033,0.03739,,,,,,,,,,
0.03049,0.02635,0.03575,0.03289,0.02991,0.03577,0.03557,0.03331,0.0377,,,,,,,,,,
0.03064,0.02651,0.03588,0.03326,0.03024,0.03618,0.03587,0.0336,0.03801,,,,,,,,,,
0.03079,0.02666,0.036,0.03362,0.03057,0.03658,0.03616,0.03388,0.03831,,,,,,,,,,
0.03094,0.02681,0.03612,0.03398,0.03089,0.03696,0.03645,0.03415,0.0386,,,,,,,,,,
0.03108,0.02695,0.03624,0.03433,0.03121,0.03735,0.03672,0.03441,0.03887,,,,,,,,,,
0.03121,0.02709,0.03635,0.03467,0.03151,0.03772,0.03698,0.03465,0.03914,,,,,,,,,,
0.03134,0.02722,0.03646,0.035,0.03179,0.03808,0.03723,0.03488,0.03939,,,,,,,,,,
0.03147,0.02736,0.03656,0.03533,0.03207,0.03843,0.03746,0.0351,0.03963,,,,,,,,,,
0.03159,0.02748,0.03666,0.03564,0.03232,0.03877,0.03769,0.03532,0.03986,,,,,,,,,,
