Charge Number,E,Uninformed,Informed,JENDL-5
23,4,1.05E-05,1.95E-05,
24,4,1.31E-04,7.68E-05,
25,4,7.91E-04,1.52E-04,
26,4,0.00226,4.96E-04,
27,4,0.00365,0.00121,
28,4,0.00446,0.0013,
29,4,0.00476,5.35E-04,
30,4,0.0056,-5.90E-04,
31,4,0.00814,8.47E-04,
32,4,0.01388,0.00694,
33,4,0.02469,0.01891,
34,4,0.04264,0.0382,
35,4,0.06886,0.06398,
36,4,0.11024,0.13874,
37,4,0.13331,0.13105,
38,4,0.17653,0.16541,
39,4,0.12094,0.1326,
40,4,0.16615,0.15565,
41,4,0.0813,0.06528,
42,4,0.0526,0.0479,
43,4,0.03,0.0117,
44,4,0.02279,0.00735,
45,4,0.02148,0.0064,
46,4,0.02042,0.00841,
47,4,0.01917,0.01173,
48,4,0.01815,0.01571,
49,4,0.02441,0.02397,
50,4,0.04984,0.04603,
51,4,0.08261,0.08682,
52,4,0.1419,0.1485,
53,4,0.13636,0.16311,
54,4,0.16004,0.17941,
55,4,0.13558,0.12822,
56,4,0.13342,0.12769,
57,4,0.0669,0.07027,
58,4,0.03866,0.03546,
59,4,0.02307,0.01579,
60,4,0.01395,0.00613,
61,4,0.00899,0.00227,
62,4,0.00654,0.00113,
63,4,0.00562,0.00102,
64,4,0.00553,0.00119,
65,4,0.00603,0.00148,
66,4,0.00659,0.00158,
67,4,0.00575,9.97E-04,
68,4,0.00316,1.06E-04,
69,4,8.92E-04,2.59E-05,
70,4,-6.72E-07,1.94E-05,
71,4,-2.21E-05,4.33E-06,
23,5,1.16E-05,2.29E-05,
24,5,1.40E-04,8.27E-05,
25,5,7.82E-04,1.55E-04,
26,5,0.00206,5.12E-04,
27,5,0.00324,0.00127,
28,5,0.00397,0.00136,
29,5,0.00434,5.97E-04,
30,5,0.00533,-4.51E-04,
31,5,0.00804,0.00112,
32,5,0.01393,0.00739,
33,5,0.02486,0.01945,
34,5,0.0429,0.03849,
35,5,0.0691,0.06425,
36,5,0.10363,0.13521,
37,5,0.13328,0.13057,
38,5,0.16991,0.15925,
39,5,0.12102,0.13376,
40,5,0.16233,0.15063,
41,5,0.08195,0.06521,
42,5,0.05415,0.04941,
43,5,0.03282,0.01388,
44,5,0.02526,0.00938,
45,5,0.02301,0.0082,
46,5,0.02192,0.01023,
47,5,0.02125,0.01384,
48,5,0.02103,0.01846,
49,5,0.02678,0.02771,
50,5,0.0528,0.04915,
51,5,0.0845,0.08746,
52,5,0.13791,0.1454,
53,5,0.13653,0.16725,
54,5,0.15514,0.17473,
55,5,0.13538,0.12828,
56,5,0.12867,0.12334,
57,5,0.06631,0.06962,
58,5,0.0388,0.03578,
59,5,0.02325,0.01621,
60,5,0.01414,0.00654,
61,5,0.00917,0.00261,
62,5,0.00668,0.00138,
63,5,0.00572,0.00121,
64,5,0.00558,0.00132,
65,5,0.00602,0.00156,
66,5,0.00654,0.00163,
67,5,0.00576,0.00101,
68,5,0.00322,1.09E-04,
69,5,9.39E-04,2.59E-05,
70,5,1.24E-05,1.91E-05,
71,5,-2.12E-05,4.22E-06,
23,6,1.23E-05,2.69E-05,
24,6,1.42E-04,8.85E-05,
25,6,7.20E-04,1.54E-04,
26,6,0.00175,5.16E-04,
27,6,0.00269,0.00128,
28,6,0.0033,0.00137,
29,6,0.00373,5.91E-04,
30,6,0.00485,-3.77E-04,
31,6,0.0077,0.00133,
32,6,0.01372,0.00778,
33,6,0.02475,0.01992,
34,6,0.04288,0.0387,
35,6,0.06908,0.06424,
36,6,0.09928,0.13157,
37,6,0.13297,0.12998,
38,6,0.16444,0.1534,
39,6,0.12092,0.13429,
40,6,0.15829,0.1457,
41,6,0.08242,0.06558,
42,6,0.05542,0.05125,
43,6,0.0351,0.01616,
44,6,0.02691,0.01142,
45,6,0.02388,0.00997,
46,6,0.0228,0.01196,
47,6,0.02266,0.0158,
48,6,0.02334,0.02096,
49,6,0.02895,0.03095,
50,6,0.05488,0.0521,
51,6,0.08607,0.08806,
52,6,0.13412,0.14228,
53,6,0.13586,0.16873,
54,6,0.15186,0.1699,
55,6,0.13511,0.12799,
56,6,0.12422,0.11963,
57,6,0.06545,0.06902,
58,6,0.03855,0.03599,
59,6,0.02306,0.01653,
60,6,0.01395,0.00686,
61,6,0.00897,0.00286,
62,6,0.00646,0.00156,
