5.17E-05,0,5.01E-05,24,
1.55E-04,0,1.01E-04,25,
3.14E-04,0,2.53E-04,26,
2.52E-04,0,4.32E-04,27,
-4.90E-04,0,1.20E-04,28,
-0.00166,0,-7.18E-04,29,
-0.00198,0,-0.00216,30,
-3.98E-04,0,-0.00128,31,
0.00468,0,0.00404,32,
0.01517,0,0.01566,33,
0.03303,0,0.03585,34,
0.05984,0,0.0594,35,
0.15635,0,0.15135,36,
0.12602,0,0.13156,37,
0.19087,0,0.19153,38,
0.11525,0,0.11903,39,
0.17482,0,0.17448,40,
0.07184,0,0.07002,41,
0.03704,0,0.04588,42,
0.00745,0,0.00357,43,
0.01867,0,-9.37E-04,44,
-4.78E-04,0,-0.00153,45,
-3.82E-04,0,-5.44E-05,46,
-0.00372,0,0.00144,47,
-0.00363,0,0.00107,48,
0.00735,0,0.00255,49,
0.03187,0,0.03434,50,
0.06839,0,0.08156,51,
0.15139,0,0.15492,52,
0.11132,0,0.10982,53,
0.19705,0,0.19657,54,
0.12987,0,0.12509,55,
0.15638,0,0.15616,56,
0.06239,0,0.07508,57,
0.02831,0,0.03256,58,
0.01269,0,0.01257,59,
0.00373,0,0.00308,60,
-0.001,0,-3.94E-04,61,
-0.0032,0,-0.00112,62,
-0.00381,0,-8.85E-04,63,
-0.00357,0,-4.17E-04,64,
-0.00269,0,8.36E-05,65,
-0.00156,0,3.56E-04,66,
-6.38E-04,0,4.66E-04,67,
-3.07E-04,0,9.13E-05,68,
-1.75E-04,0,2.57E-05,69,
-1.65E-04,0,2.06E-05,70,
-3.51E-05,0,4.69E-06,71,
8.70E-06,1,1.14E-05,23,
7.09E-05,1,5.74E-05,24,
3.78E-04,1,1.21E-04,25,
0.00133,1,3.47E-04,26,
0.00233,1,7.35E-04,27,
0.00261,1,5.88E-04,28,
0.00218,1,-2.11E-04,29,
0.00232,1,-0.00157,30,
0.00418,1,-5.43E-04,31,
0.0094,1,0.00499,32,
0.01989,1,0.01669,33,
0.03767,1,0.03667,34,
0.06416,1,0.06106,35,
0.1412,1,0.14848,36,
0.12957,1,0.13164,37,
0.19425,1,0.18499,38,
0.11801,1,0.12408,39,
0.17432,1,0.17009,40,
0.07638,1,0.06818,41,
0.04336,1,0.04572,42,
0.01557,1,0.00555,43,
0.0078,1,0.00123,44,
0.00865,1,6.04E-04,45,
0.00839,1,0.0023,46,
0.00533,1,0.00436,47,
0.00415,1,0.00543,48,
0.0137,1,0.00894,49,
0.03784,1,0.03702,50,
0.07373,1,0.0836,51,
0.15158,1,0.15518,52,
